date,sentiment_index
2022-12-17,-0.2751804027468907
2022-12-18,0.36746021893026526
2022-12-19,-0.05556050179256691
2022-12-20,-0.04182513980527286
2022-12-21,-0.022542211603650074
2022-12-22,-0.026113735134735982
2022-12-23,-0.02184653840169809
2022-12-24,-0.1780836622434202
2022-12-25,-0.12820966663536074
2022-12-26,0.000709298124142041
2022-12-27,-0.040565332563312004
2022-12-28,0.012711050276195611
2022-12-29,0.004594978815276811
2022-12-30,-0.029343021707207855
2022-12-31,-0.16439456185889673
2023-01-01,-0.18687463170473748
2023-01-02,0.8432406259701666
2023-01-03,-0.017347269151885766
2023-01-04,-0.05182483619428157
2023-01-05,-0.0037453276507281776
2023-01-06,-0.03393257075766655
2023-01-07,0.06140953987338775
2023-01-08,1.1716958976894494
